series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
cpu_utilization_asg_misconfiguration,drift-triggered,0.7,False,0.2304123027972955,0.14377895433487756,0.5797198132088058,0.2514103862288442,0.14377895433487756,1.0,1,1,0.3544868035190616,0.16162596366380938,8,17050,2.61
cpu_utilization_asg_misconfiguration,static,0.8,False,0.2821990689425848,0.1692144091452878,0.8492328218812542,0.28944974988631195,0.1692144091452878,1.0,1,1,0.4412316715542522,0.16162596366380938,0,17050,0.31
cpu_utilization_asg_misconfiguration,online-no-reset,0.8,False,0.33389945652173914,0.22396901344269765,0.6557705136757839,0.3659717051377513,0.22396901344269765,1.0,1,1,0.2574193548387097,0.16162596366380938,0,17050,1.65
cpu_utilization_asg_misconfiguration,periodic,0.8,False,0.2718954248366013,0.1887966804979253,0.485657104736491,0.31762652705061084,0.1887966804979253,1.0,1,1,0.226158357771261,0.16162596366380938,17,17050,3.14
cpu_utilization_asg_misconfiguration,drift-triggered,0.8,False,0.19951519671825468,0.1384575569358178,0.35690460306871247,0.24323709934075927,0.1384575569358178,1.0,1,1,0.2266275659824047,0.16162596366380938,8,17050,2.1
cpu_utilization_asg_misconfiguration,static,0.9,False,0.3457005674378001,0.22106438407145515,0.7925283522348232,0.362084730265163,0.22106438407145515,1.0,1,1,0.3151906158357771,0.16162596366380938,0,17050,0.27
cpu_utilization_asg_misconfiguration,online-no-reset,0.9,False,0.2708947885939036,0.21448034254573764,0.3675783855903936,0.3532051282051282,0.21448034254573764,1.0,1,1,0.15067448680351905,0.16162596366380938,0,17050,2.05
cpu_utilization_asg_misconfiguration,periodic,0.9,False,0.08638906152889994,0.08086096567771961,0.09272848565710473,0.14962325080731972,0.08086096567771961,1.0,1,1,0.10082111436950146,0.16162596366380938,17,17050,3.22
cpu_utilization_asg_misconfiguration,drift-triggered,0.9,False,0.10982658959537574,0.09688934217236105,0.12675116744496331,0.17666201766620176,0.09688934217236105,1.0,1,1,0.11501466275659825,0.16162596366380938,8,17050,2.13
cpu_utilization_asg_misconfiguration,static,0.95,False,0.3994402239104358,0.28518412789037967,0.6664442961974649,0.44380275433140826,0.28518412789037967,1.0,1,1,0.20545454545454545,0.16162596366380938,0,17050,0.27
cpu_utilization_asg_misconfiguration,online-no-reset,0.95,False,0.28425787106446776,0.2581699346405229,0.3162108072048032,0.4103896103896104,0.2581699346405229,1.0,1,1,0.107683284457478,0.16162596366380938,0,17050,1.55
cpu_utilization_asg_misconfiguration,periodic,0.95,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.038651026392961876,0.16162596366380938,17,17050,3.43
cpu_utilization_asg_misconfiguration,drift-triggered,0.95,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.04211143695014663,0.16162596366380938,8,17050,2.01
cpu_utilization_asg_misconfiguration,static,0.98,True,0.1628065395095368,0.1663187195546277,0.15943962641761175,0.2852028639618139,0.1663187195546277,1.0,1,1,0.08428152492668621,0.16162596366380938,0,17050,0.25
cpu_utilization_asg_misconfiguration,online-no-reset,0.98,True,0.04938271604938272,0.0585544373284538,0.04269513008672448,0.11063094209161624,0.0585544373284538,1.0,1,1,0.06410557184750733,0.16162596366380938,0,17050,1.43
cpu_utilization_asg_misconfiguration,periodic,0.98,True,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.02973607038123167,0.16162596366380938,17,17050,2.93
cpu_utilization_asg_misconfiguration,drift-triggered,0.98,True,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.02785923753665689,0.16162596366380938,8,17050,1.96
nyc_taxi,static,0.5,False,0.19661242112255065,0.1187086424704231,0.5719806763285025,0.21222441297723607,0.1187086424704231,1.0,5,5,0.5350858369098712,0.1999034282955094,0,9320,0.22
nyc_taxi,online-no-reset,0.5,False,0.22892164982607258,0.13814474210315875,0.6676328502415458,0.24275425961707361,0.13814474210315875,1.0,5,5,0.5366952789699571,0.1999034282955094,0,9320,0.77
nyc_taxi,periodic,0.5,False,0.2301397886123423,0.13972262471537983,0.6521739130434783,0.24518706865237921,0.13972262471537983,1.0,5,5,0.5183476394849785,0.1999034282955094,9,9320,1.49
nyc_taxi,drift-triggered,0.5,False,0.20926489000178858,0.12840210711150132,0.5652173913043478,0.22758218245477535,0.12840210711150132,1.0,5,5,0.48884120171673817,0.1999034282955094,3,9320,0.92
nyc_taxi,static,0.7,False,0.20503432494279175,0.13433283358320838,0.43285024154589374,0.23684906159132962,0.13433283358320838,1.0,5,5,0.35783261802575106,0.1999034282955094,0,9320,0.21
nyc_taxi,online-no-reset,0.7,False,0.19765287214329832,0.14525646845211077,0.30917874396135264,0.25366627031311934,0.14525646845211077,1.0,5,5,0.2363733905579399,0.1999034282955094,0,9320,0.78
nyc_taxi,periodic,0.7,False,0.21398145828113255,0.14445196211096076,0.41256038647342996,0.25243866390777414,0.14445196211096076,1.0,5,5,0.31716738197424893,0.1999034282955094,9,9320,1.49
nyc_taxi,drift-triggered,0.7,False,0.22296087957044236,0.15159944367176634,0.421256038647343,0.2632850241545894,0.15159944367176634,1.0,5,5,0.30858369098712446,0.1999034282955094,3,9320,0.85
nyc_taxi,static,0.8,False,0.2108741363772905,0.15300784655623365,0.3391304347826087,0.265406427221172,0.15300784655623365,1.0,5,5,0.246137339055794,0.1999034282955094,0,9320,0.22
nyc_taxi,online-no-reset,0.8,False,0.18522860492379836,0.15551181102362205,0.2289855072463768,0.2691652470187394,0.15551181102362205,1.0,5,5,0.16351931330472103,0.1999034282955094,0,9320,0.78
nyc_taxi,periodic,0.8,False,0.20516129032258068,0.1539951573849879,0.3072463768115942,0.26689047419219475,0.1539951573849879,1.0,5,5,0.22156652360515022,0.1999034282955094,9,9320,1.5
nyc_taxi,drift-triggered,0.8,False,0.2193675889328063,0.1664167916041979,0.3217391304347826,0.2853470437017995,0.1664167916041979,1.0,5,5,0.21469957081545063,0.1999034282955094,3,9320,0.91
nyc_taxi,static,0.9,False,0.18387799564270155,0.16746031746031745,0.2038647342995169,0.28687967369136635,0.16746031746031745,1.0,5,5,0.1351931330472103,0.1999034282955094,0,9320,0.2
nyc_taxi,online-no-reset,0.9,False,0.15208690680388795,0.18627450980392157,0.1285024154589372,0.3140495867768595,0.18627450980392157,1.0,5,5,0.07660944206008584,0.1999034282955094,0,9320,0.91
nyc_taxi,periodic,0.9,False,0.1685288640595903,0.16262353998203055,0.1748792270531401,0.2797527047913447,0.16262353998203055,1.0,5,5,0.1194206008583691,0.1999034282955094,9,9320,1.64
nyc_taxi,drift-triggered,0.9,False,0.19634928465712875,0.2006048387096774,0.19227053140096617,0.33417296389588574,0.2006048387096774,1.0,5,5,0.10643776824034334,0.1999034282955094,3,9320,0.92
nyc_taxi,static,0.95,False,0.1213840045377198,0.14697802197802198,0.10338164251207729,0.2562874251497006,0.14697802197802198,1.0,5,5,0.07811158798283262,0.1999034282955094,0,9320,0.22
nyc_taxi,online-no-reset,0.95,False,0.13242574257425743,0.18416523235800344,0.10338164251207729,0.311046511627907,0.18416523235800344,1.0,5,5,0.06233905579399142,0.1999034282955094,0,9320,0.8
nyc_taxi,periodic,0.95,False,0.1199760047990402,0.15822784810126583,0.0966183574879227,0.273224043715847,0.15822784810126583,1.0,5,5,0.06781115879828326,0.1999034282955094,9,9320,1.59
nyc_taxi,drift-triggered,0.95,False,0.1183591123066577,0.19469026548672566,0.08502415458937199,0.3259259259259259,0.19469026548672566,1.0,5,5,0.04849785407725322,0.1999034282955094,3,9320,1.08
nyc_taxi,static,0.98,True,0.09907997169143665,0.18518518518518517,0.06763285024154589,0.3125,0.18518518518518517,1.0,5,5,0.04055793991416309,0.1999034282955094,0,9320,0.23
nyc_taxi,online-no-reset,0.98,True,0.11197732104890147,0.21010638297872342,0.07632850241545894,0.34725274725274724,0.21010638297872342,1.0,5,5,0.04034334763948498,0.1999034282955094,0,9320,0.79
nyc_taxi,periodic,0.98,True,0.06686930091185411,0.15658362989323843,0.04251207729468599,0.27076923076923076,0.15658362989323843,1.0,5,5,0.03015021459227468,0.1999034282955094,9,9320,1.54
nyc_taxi,drift-triggered,0.98,True,0.07383100902378999,0.24456521739130435,0.043478260869565216,0.3930131004366812,0.24456521739130435,1.0,5,5,0.019742489270386267,0.1999034282955094,3,9320,0.89
ambient_temperature_system_failure,static,0.5,False,0.25627842594423567,0.14961902562918494,0.8925619834710744,0.2602932315726049,0.14961902562918494,1.0,2,2,0.691080261688208,0.20763620763620763,0,6267,0.2
ambient_temperature_system_failure,online-no-reset,0.5,False,0.20015475883415013,0.12313551253570296,0.5344352617079889,0.21927098050296695,0.12313551253570296,1.0,2,2,0.5027924046593266,0.20763620763620763,0,6267,0.57
ambient_temperature_system_failure,periodic,0.5,False,0.2394995531724754,0.14293333333333333,0.7382920110192838,0.2501166588894074,0.14293333333333333,1.0,2,2,0.5983724269985639,0.20763620763620763,6,6267,1.05
ambient_temperature_system_failure,drift-triggered,0.5,False,0.22792937399678975,0.14143426294820718,0.5867768595041323,0.24781849912739964,0.14143426294820718,1.0,2,2,0.4806127333652465,0.20763620763620763,17,6267,2.27
